ID_Chamado,ID_Cliente,Hora_Abertura_Chamado,Hora_Inicio_Atendimento,Hora_Finalizacao_Atendimento
1,10001079389,24/02/2025 às 20:37:56,24/02/2025 às 20:37:56,24/02/2025 às 20:56:58
2,10008163460,10/01/2025 às 01:23:43,10/01/2025 às 01:23:43,10/01/2025 às 01:31:54
3,10011999387,07/04/2025 às 07:30:40,07/04/2025 às 07:30:40,07/04/2025 às 07:48:01
4,10011999387,22/06/2025 às 02:39:01,22/06/2025 às 02:42:30,22/06/2025 às 03:03:27
5,10021976563,20/01/2025 às 08:51:50,20/01/2025 às 08:51:50,20/01/2025 às 09:01:32
6,10027136369,01/01/2025 às 07:20:57,01/01/2025 às 07:20:57,01/01/2025 às 07:29:59
7,10032607631,09/06/2025 às 20:38:57,09/06/2025 às 20:38:57,09/06/2025 às 20:45:06
8,10035025665,12/05/2025 às 13:33:52,12/05/2025 às 13:33:52,12/05/2025 às 13:47:38
9,10035025665,15/06/2025 às 15:03:20,15/06/2025 às 15:09:09,15/06/2025 às 15:53:42
10,10035262931,19/06/2025 às 13:06:03,19/06/2025 às 13:06:03,19/06/2025 às 13:11:32
11,10035262931,05/05/2025 às 05:48:15,05/05/2025 às 05:49:08,05/05/2025 às 06:18:02
12,10042563331,22/06/2025 às 12:42:30,22/06/2025 às 12:42:30,22/06/2025 às 12:43:24
13,10047431702,21/02/2025 às 04:02:21,21/02/2025 às 04:02:21,21/02/2025 às 04:12:27
14,10047431702,07/05/2025 às 21:20:51,07/05/2025 às 21:25:06,07/05/2025 às 21:54:01
15,10047431702,21/03/2025 às 08:51:39,21/03/2025 às 09:04:36,21/03/2025 às 09:26:27
16,10052671950,25/05/2025 às 01:17:02,25/05/2025 às 01:17:02,25/05/2025 às 01:18:18
17,10052671950,02/03/2025 às 05:39:22,02/03/2025 às 05:42:07,02/03/2025 às 06:04:18
18,10052671950,24/04/2025 às 21:06:16,24/04/2025 às 21:10:20,24/04/2025 às 21:34:13
19,10052671950,10/03/2025 às 15:49:04,10/03/2025 às 15:49:17,10/03/2025 às 16:14:24
20,10052671950,17/02/2025 às 16:02:08,17/02/2025 às 16:07:11,17/02/2025 às 16:35:39
21,10052671950,10/06/2025 às 19:56:03,10/06/2025 às 20:05:40,10/06/2025 às 20:28:23
22,10055171880,23/06/2025 às 19:24:00,23/06/2025 às 19:24:00,23/06/2025 às 19:25:48
23,10075317147,02/06/2025 às 13:35:34,02/06/2025 às 13:35:34,02/06/2025 às 13:37:46
24,10075317147,17/06/2025 às 23:11:25,17/06/2025 às 23:16:26,17/06/2025 às 23:58:05
25,10075317147,20/01/2025 às 05:21:42,20/01/2025 às 05:38:14,20/01/2025 às 06:52:02
26,10075317147,28/06/2025 às 16:51:58,28/06/2025 às 16:59:21,28/06/2025 às 17:46:45
27,10075317147,07/06/2025 às 14:09:09,07/06/2025 às 14:26:21,07/06/2025 às 15:20:57
28,10075572626,16/06/2025 às 07:00:56,16/06/2025 às 07:00:56,16/06/2025 às 07:02:23
29,10075838581,20/02/2025 às 01:51:24,20/02/2025 às 01:51:24,20/02/2025 às 02:11:24
30,10077676402,08/02/2025 às 12:45:36,08/02/2025 às 12:45:36,08/02/2025 às 12:53:42
31,10077676402,13/01/2025 às 18:28:18,13/01/2025 às 18:30:46,13/01/2025 às 18:50:37
32,10077676402,04/05/2025 às 18:16:18,04/05/2025 às 18:34:13,04/05/2025 às 18:44:37
33,10077676402,25/01/2025 às 02:59:59,25/01/2025 às 03:12:31,25/01/2025 às 03:26:01
34,10082503356,30/01/2025 às 09:28:00,30/01/2025 às 09:28:00,30/01/2025 às 09:36:13
35,10082503356,15/03/2025 às 09:16:01,15/03/2025 às 09:18:15,15/03/2025 às 09:55:18
36,10088885069,25/02/2025 às 04:25:33,25/02/2025 às 04:25:33,25/02/2025 às 04:38:24
37,10088885069,25/01/2025 às 12:37:42,25/01/2025 às 12:41:48,25/01/2025 às 13:36:27
38,10091613918,03/05/2025 às 15:12:34,03/05/2025 às 15:12:34,03/05/2025 às 15:16:10
39,10096377870,17/01/2025 às 13:36:32,17/01/2025 às 13:36:32,17/01/2025 às 13:49:29
40,10100115772,06/05/2025 às 10:03:24,06/05/2025 às 10:03:24,06/05/2025 às 10:04:43
41,10111688284,01/05/2025 às 03:59:23,01/05/2025 às 03:59:23,01/05/2025 às 04:08:14
42,10111923439,04/03/2025 às 23:01:33,04/03/2025 às 23:01:33,04/03/2025 às 23:12:04
43,10111923439,03/01/2025 às 17:41:53,03/01/2025 às 17:42:30,03/01/2025 às 18:04:54
44,10111923439,24/01/2025 às 02:30:35,24/01/2025 às 02:41:28,24/01/2025 às 03:17:12
45,10111923439,09/02/2025 às 16:03:51,09/02/2025 às 16:12:35,09/02/2025 às 16:45:19
46,10111923439,11/02/2025 às 02:15:12,11/02/2025 às 02:30:46,11/02/2025 às 03:45:54
47,10111923439,07/06/2025 às 07:55:28,07/06/2025 às 08:10:30,07/06/2025 às 09:09:14
48,10114800395,20/03/2025 às 00:59:52,20/03/2025 às 00:59:52,20/03/2025 às 01:08:14
49,10122854056,03/01/2025 às 03:39:55,03/01/2025 às 03:39:55,03/01/2025 às 03:40:35
