id_custo,id_chamado,custo
1501,2628,0.00266486reais
1502,10098,0.00266973reais
1503,22163,0.00267094reais
3001,11250,"0,00540473"
3002,29950,"0,00540519"
3003,24748,"0,00540719"
3004,16539,"0,00540747"
3005,19103,"0,00540947"
3006,20888,"0,00541105"
3007,1042,"0,00541146"
3008,1998,"0,00541275"
3009,21454,"0,00541644"
3010,14964,"0,00541663"
3011,24669,"0,00541906"
3012,7005,"0,00541912"
3013,16353,"0,00541975"
3014,816,"0,00542284"
3015,21584,"0,00542540"
3016,28093,"0,00542594"
3017,19767,"0,00542603"
3018,19016,"0,00542625"
3019,4010,"0,00542673"
3020,1405,"0,00542815"
3021,27098,"0,00542868"
3022,26621,"0,00542903"
3023,14259,"0,00542927"
3024,22265,"0,00542972"
3025,16273,"0,00543032"
3026,24414,"0,00544227"
3027,18922,"0,00544245"
3028,698,"0,00544316"
3029,14541,"0,00544745"
3030,17370,"0,00544935"
3031,13808,"0,00544940"
3032,7493,"0,00544950"
3033,6769,"0,00545030"
3034,4938,"0,00545249"
3035,6223,"0,00545380"
3036,19127,"0,00545603"
3037,4387,"0,00545686"
3038,27695,"0,00546069"
3039,22816,"0,00546606"
3040,26453,"0,00546754"
3041,10976,"0,00547051"
3042,2282,"0,00547209"
3043,9223,"0,00547252"
3044,3016,"0,00547265"
3045,1824,"0,00547522"
3046,5206,"0,00547663"
3047,2542,"0,00547839"
3048,11414,"0,00548095"
3049,2300,"0,00548570"
3050,6415,"0,00548702"
3051,2437,"0,00548940"
3052,15446,"0,00549063"
3053,23862,"0,00549417"
3054,16012,"0,00549485"
3055,22217,"0,00549672"
3056,6485,"0,00549683"
3057,23475,"0,00549758"
3058,26945,"0,00549968"
3059,21612,"0,00550010"
3060,5007,"0,00550067"
3061,17611,"0,00550519"
3062,23096,"0,00550698"
3063,12781,"0,00551033"
3064,2775,"0,00551768"
3065,4677,"0,00551919"
3066,13373,"0,00551970"
3067,17192,"0,00552140"
3068,21596,"0,00552223"
3069,22186,"0,00553090"
3070,1323,"0,00553141"
3071,21262,"0,00553228"
3072,6981,"0,00553524"
3073,21272,"0,00553613"
3074,29257,"0,00553634"
3075,27749,"0,00553756"
3076,26278,"0,00553773"
3077,2245,"0,00553817"
3078,26048,"0,00553837"
3079,3358,"0,00554484"
3080,29282,"0,00554510"
3081,19516,"0,00554878"
3082,25974,"0,00554986"
3083,412,"0,00555645"
3084,1214,"0,00555777"
3085,16710,"0,00555825"
3086,7809,"0,00555877"
3087,13421,"0,00556076"
3088,10743,"0,00556172"
3089,28170,"0,00556405"
3090,5808,"0,00556510"
3091,8364,"0,00557420"
3092,27645,"0,00557675"
3093,26990,"0,00557784"
3094,11718,"0,00557798"
3095,13458,"0,00558165"
3096,27117,"0,00558274"
3097,21045,"0,00558441"
3098,670,"0,00558512"
3099,8000,"0,00558929"
3100,463,"0,00559204"
3101,2230,"0,00559252"
3102,19315,"0,00559537"
3103,14858,"0,00559610"
3104,5669,"0,00559859"
3105,1269,"0,00559891"
3106,26136,"0,00560115"
3107,6790,"0,00560169"
3108,29683,"0,00560170"
3109,2270,"0,00560450"
3110,2840,"0,00560541"
3111,1007,"0,00560948"
3112,28548,"0,00561027"
3113,8099,"0,00561066"
3114,6278,"0,00561112"
3115,2917,"0,00561156"
3116,12537,"0,00561667"
3117,1698,"0,00561693"
3118,1025,"0,00561849"
3119,9481,"0,00562301"
3120,20225,"0,00562307"
3121,5697,"0,00563012"
3122,5091,"0,00563043"
3123,16711,"0,00563253"
3124,29167,"0,00563443"
3125,15970,"0,00563574"
3126,9953,"0,00564055"
3127,25062,"0,00564112"
3128,28721,"0,00564339"
3129,4452,"0,00564404"
3130,10272,"0,00564475"
3131,21288,"0,00564636"
3132,16528,"0,00564694"
3133,21246,"0,00564764"
3134,14094,"0,00564912"
3135,24654,"0,00564971"
3136,27489,"0,00565131"
3137,1412,"0,00565205"
3138,15904,"0,00565270"
3139,5649,"0,00565591"
3140,24797,"0,00565858"
3141,24507,"0,00566071"
3142,1407,"0,00566208"
3143,28503,"0,00566250"
3144,7684,"0,00566476"
3145,25787,"0,00567092"
3146,5661,"0,00567173"
3147,12311,"0,00567416"
3148,28595,"0,00567877"
3149,18538,"0,00568219"
3150,4720,"0,00568222"
3151,3898,"0,00568591"
3152,17405,"0,00568657"
3153,20413,"0,00568692"
3154,18985,"0,00568991"
3155,2253,"0,00569079"
3156,17505,"0,00569296"
3157,13547,"0,00569364"
3158,20991,"0,00569490"
3159,27185,"0,00569578"
3160,20616,"0,00569579"
3161,7178,"0,00569607"
3162,16126,"0,00569734"
3163,17191,"0,00569848"
3164,12159,"0,00570324"
3165,9545,"0,00571252"
3166,22613,"0,00571252"
3167,17744,"0,00571289"
3168,19344,"0,00571343"
3169,13681,"0,00571578"
3170,19352,"0,00571801"
3171,12756,"0,00571913"
3172,14225,"0,00572107"
3173,17461,"0,00572576"
3174,27556,"0,00573043"
3175,8228,"0,00573171"
3176,6964,"0,00573630"
3177,6054,"0,00574065"
3178,9041,"0,00574229"
3179,6561,"0,00574391"
3180,27336,"0,00574430"
3181,10929,"0,00574630"
3182,11335,"0,00574814"
3183,13070,"0,00574835"
3184,26323,"0,00574907"
3185,21175,"0,00575414"
3186,4820,"0,00575602"
3187,14203,"0,00575661"
3188,902,"0,00575745"
3189,8701,"0,00575772"
3190,16471,"0,00576253"
3191,20936,"0,00576416"
3192,1862,"0,00576549"
3193,18108,"0,00576795"
3194,7456,"0,00576991"
3195,9057,"0,00577069"
3196,22689,"0,00577460"
3197,15304,"0,00577795"
3198,18175,"0,00578345"
3199,2551,"0,00578402"
3200,20204,"0,00578503"
3201,24082,"0,00578550"
3202,20720,"0,00578753"
3203,13828,"0,00578793"
3204,4588,"0,00578802"
3205,17487,"0,00579631"
3206,22899,"0,00579927"
3207,29333,"0,00579980"
3208,20182,"0,00580030"
3209,8738,"0,00580038"
3210,18056,"0,00580118"
3211,12123,"0,00580380"
3212,8124,"0,00580440"
3213,25949,"0,00580856"
3214,7111,"0,00580936"
3215,14144,"0,00581380"
3216,18735,"0,00581646"
3217,26132,"0,00582282"
3218,22389,"0,00582346"
3219,27547,"0,00582578"
3220,18769,"0,00582843"
3221,16382,"0,00583478"
3222,925,"0,00583649"
3223,27577,"0,00583669"
3224,15787,"0,00583720"
3225,10169,"0,00583740"
3226,1903,"0,00583766"
3227,22552,"0,00584246"
3228,29236,"0,00584362"
3229,4437,"0,00584553"
3230,26069,"0,00584820"
3231,16643,"0,00585177"
3232,19117,"0,00585292"
3233,7780,"0,00585366"
3234,17280,"0,00585538"
3235,9984,"0,00585572"
3236,7846,"0,00585695"
3237,20984,"0,00585743"
3238,25514,"0,00585870"
3239,29537,"0,00586017"
3240,24195,"0,00586021"
3241,431,"0,00586399"
3242,15365,"0,00586584"
3243,1678,"0,00587359"
3244,20560,"0,00587468"
3245,1600,"0,00587888"
3246,11053,"0,00588106"
3247,5086,"0,00588292"
3248,18883,"0,00588536"
3249,9055,"0,00588713"
3250,10682,"0,00588801"
3251,21473,"0,00588937"
3252,25202,"0,00588998"
3253,17270,"0,00589021"
3254,26637,"0,00589468"
3255,19903,"0,00589599"
3256,21467,"0,00589606"
3257,26231,"0,00589630"
3258,18065,"0,00589778"
3259,7459,"0,00589977"
3260,15094,"0,00590071"
3261,17510,"0,00590102"
3262,794,"0,00590245"
3263,16547,"0,00590348"
3264,15802,"0,00590655"
3265,16370,"0,00590689"
3266,24265,"0,00590736"
3267,8055,"0,00590892"
3268,13918,"0,00591317"
3269,3688,"0,00591408"
3270,1297,"0,00591447"
3271,58,"0,00592084"
3272,10349,"0,00592097"
3273,27955,"0,00592815"
3274,17913,"0,00593114"
3275,4809,"0,00593224"
3276,6757,"0,00593488"
3277,29095,"0,00593801"
3278,22513,"0,00593878"
3279,15584,"0,00593983"
3280,28655,"0,00594007"
3281,21797,"0,00594019"
3282,20954,"0,00594224"
3283,18277,"0,00594322"
3284,19013,"0,00594365"
3285,29697,"0,00594501"
3286,6782,"0,00594561"
3287,9029,"0,00594634"
3288,19106,"0,00594901"
3289,5838,"0,00595053"
3290,28829,"0,00595208"
3291,9974,"0,00595299"
3292,19291,"0,00595326"
3293,14352,"0,00595388"
3294,23059,"0,00595671"
3295,22579,"0,00595676"
3296,3439,"0,00595799"
3297,17374,"0,00595912"
3298,28302,"0,00596290"
3299,12359,"0,00596319"
3300,27657,"0,00596455"
3301,15717,"0,00596668"
3302,6347,"0,00596669"
3303,4701,"0,00596757"
3304,26173,"0,00596896"
3305,10664,"0,00596971"
3306,10772,"0,00596977"
3307,15337,"0,00597710"
3308,11837,"0,00597733"
3309,19876,"0,00597989"
3310,7108,"0,00598194"
3311,7390,"0,00598302"
3312,13613,"0,00598716"
3313,3768,"0,00598737"
3314,25904,"0,00599025"
3315,28682,"0,00599358"
3316,16455,"0,00599493"
3317,28080,"0,00599752"
3318,19136,"0,00599809"
3319,8796,"0,00599860"
3320,11925,"0,00599875"
3321,25522,"0,00599990"
3322,14371,"0,00600058"
3323,19428,"0,00600163"
3324,1615,"0,00600204"
3325,21199,"0,00600282"
3326,9683,"0,00600398"
3327,27320,"0,00600479"
3328,3559,"0,00600572"
3329,29129,"0,00600613"
3330,12887,"0,00600751"
3331,18694,"0,00601307"
3332,24459,"0,00601530"
3333,25478,"0,00601636"
3334,12413,"0,00601680"
3335,29905,"0,00601747"
3336,29230,"0,00602000"
3337,11682,"0,00602118"
3338,17153,"0,00602136"
3339,4242,"0,00602192"
3340,13355,"0,00602248"
3341,7706,"0,00602470"
3342,19889,"0,00602554"
3343,15477,"0,00602823"
3344,23040,"0,00603405"
3345,6423,"0,00603531"
3346,22683,"0,00603639"
3347,4810,"0,00604623"
3348,25405,"0,00604657"
3349,6484,"0,00604987"
3350,19806,"0,00605313"
3351,9967,"0,00605346"
3352,18655,"0,00605430"
3353,13611,"0,00605457"
3354,19733,"0,00605851"
3355,28994,"0,00606054"
3356,2610,"0,00606383"
3357,15168,"0,00606706"
3358,26433,"0,00606905"
3359,5118,"0,00607341"
3360,11085,"0,00607473"
3361,14179,"0,00607576"
3362,10946,"0,00607694"
3363,21314,"0,00607922"
3364,18091,"0,00608679"
3365,6514,"0,00608723"
3366,14413,"0,00608794"
3367,2363,"0,00608963"
3368,22494,"0,00609240"
3369,25584,"0,00609710"
3370,17786,"0,00609720"
3371,4864,"0,00609983"
3372,27009,"0,00610273"
3373,20521,"0,00610274"
3374,2555,"0,00610519"
3375,5418,"0,00610895"
3376,27421,"0,00611251"
3377,10856,"0,00611372"
3378,27269,"0,00611719"
3379,20401,"0,00611754"
3380,14441,"0,00611765"
3381,22750,"0,00611785"
3382,21463,"0,00611946"
3383,588,"0,00612146"
3384,13737,"0,00612599"
3385,5400,"0,00612669"
3386,26418,"0,00612743"
3387,17049,"0,00613223"
3388,12902,"0,00613531"
3389,2811,"0,00613718"
3390,1211,"0,00613728"
3391,16764,"0,00613780"
3392,16110,"0,00613783"
3393,23669,"0,00613867"
3394,18282,"0,00614326"
3395,1518,"0,00614539"
3396,20402,"0,00614921"
3397,7856,"0,00615006"
3398,24107,"0,00615327"
3399,5335,"0,00615415"
3400,22945,"0,00615699"
3401,26053,"0,00615755"
3402,1950,"0,00615767"
3403,17413,"0,00616180"
3404,29545,"0,00616196"
3405,27887,"0,00616386"
3406,11699,"0,00616394"
3407,25392,"0,00616757"
3408,4700,"0,00617096"
3409,2569,"0,00617144"
3410,17899,"0,00617420"
3411,573,"0,00617730"
3412,9293,"0,00618284"
3413,15131,"0,00618405"
3414,12836,"0,00618683"
3415,29308,"0,00618693"
3416,24931,"0,00618695"
3417,6787,"0,00618784"
3418,8803,"0,00618947"
3419,32,"0,00619035"
3420,14777,"0,00619119"
3421,15963,"0,00619887"
3422,3435,"0,00620144"
3423,14941,"0,00620216"
3424,16400,"0,00620362"
3425,22526,"0,00620376"
3426,4219,"0,00620711"
