id_pesquisa,id_chamado,nota_atendimento
1,1,3
2,2,2
3,3,3
4,4,3
6,5,2
7,6,3
8,7,2
9,8,2
10,9,3
158,148,2
159,149,3
160,150,3
161,151,3
162,152,2
164,153,3
166,154,3
315,298,2
316,299,4
317,300,2
318,301,2
319,302,4
320,303,2
322,304,3
323,305,2
324,306,2
325,307,5
472,444,3
473,445,2
474,446,2
475,447,3
478,448,2
479,449,2
480,450,3
481,451,4
482,452,5
483,453,4
484,454,5
485,455,5
487,456,4
629,587,3
630,588,2
631,589,3
632,590,2
633,591,4
634,592,4
635,593,3
640,730,
787,736,3
788,737,3
789,738,4
790,739,5
791,740,4
792,741,4
793,742,2
794,743,2
795,744,2
943,883,5
944,884,4
945,885,3
946,886,3
947,887,2
948,888,4
949,889,3
950,890,2
967,1025,
1100,1031,2
1102,1032,2
1104,1033,4
1105,1034,3
1106,1035,2
1107,1036,3
1108,1037,3
1109,1038,2
1110,1039,4
1111,1040,2
1112,1041,2
1257,1176,3
1258,1177,2
1259,1178,3
1260,1179,5
1261,1180,4
1262,1181,3
1263,1182,3
1264,1183,3
1414,1324,3
1415,1325,2
1416,1326,2
1417,1327,2
1418,1328,3
1419,1329,2
1420,1330,3
1421,1331,3
1422,1332,2
1423,1333,2
1571,1471,3
1572,1472,3
1574,1473,2
1575,1474,3
1576,1475,2
1577,1476,2
1578,1477,2
1579,1478,3
1729,1619,2
1730,1620,5
1731,1621,5
1732,1622,3
1733,1623,3
1728,1767,
1885,1770,3
1886,1771,2
1887,1772,2
1888,1773,2
1889,1774,3
1890,1775,2
1891,1776,4
1903,1913,
2042,1919,4
2044,1920,3
2045,1921,3
2046,1922,2
2047,1923,3
2050,1924,4
2051,1925,3
2052,1926,5
2054,1927,2
2055,1928,3
2199,2066,3
2200,2067,3
2201,2068,3
2202,2069,3
2203,2070,2
2204,2071,3
2205,2072,3
2206,2073,2
2208,2074,2
2209,2075,2
2356,2212,2
2357,2213,3
2359,2214,2
2360,2215,2
2361,2216,3
2362,2217,2
2513,2363,3
2514,2364,2
2515,2365,3
2517,2366,4
2518,2367,5
2519,2368,3
2520,2369,3
2670,2513,3
2671,2514,2
2672,2515,4
2673,2516,3
2674,2517,2
2703,2661,
2827,2664,3
2828,2665,2
2830,2666,2
2831,2667,2
2832,2668,4
2833,2669,3
2834,2670,4
2984,2813,5
2985,2814,5
2986,2815,2
2987,2816,3
2988,2817,2
3014,2960,
3141,2964,4
3142,2965,4
3143,2966,2
3144,2967,3
3298,3117,4
3300,3118,4
3301,3119,4
3302,3120,2
3303,3121,2
3304,3122,3
3305,3123,3
3455,3267,4
3456,3268,2
3457,3269,4
3458,3270,3
3459,3271,2
3461,3272,3
3462,3273,2
3502,3410,
3612,3416,4
3613,3417,4
3614,3418,3
3615,3419,3
3616,3420,3
3617,3421,4
3769,3566,5
3770,3567,2
3771,3568,3
3919,3718,
3926,3719,3
3927,3720,3
3928,3721,3
3929,3722,3
3930,3723,3
3931,3724,2
3932,3725,3
3933,3726,3
3934,3727,2
3935,3728,4
3936,3729,5
3937,3730,5
3938,3731,4
4083,3862,3
4086,3863,3
4087,3864,3
4088,3865,4
4089,3866,4
4090,3867,4
4091,3868,4
4092,3869,2
4093,3870,2
4240,4009,3
4241,4010,4
4242,4011,5
4243,4012,2
4244,4013,2
4245,4014,5
4246,4015,3
4247,4016,3
4248,4017,2
4255,4149,
4397,4156,3
4398,4157,4
4399,4158,3
4400,4159,3
4401,4160,4
4456,4304,
4554,4307,3
4555,4308,2
4556,4309,4
4557,4310,4
4558,4311,2
4559,4312,3
4560,4313,4
4561,4314,3
4563,4315,4
4562,4447,
4711,4454,2
4712,4455,4
4713,4456,3
4714,4457,4
4717,4458,2
4718,4459,4
4715,4599,
4868,4604,3
4869,4605,3
4870,4606,2
4871,4607,3
4872,4608,4
4873,4609,4
4874,4610,3
4875,4611,3
5025,4752,3
5026,4753,3
5029,4754,2
5030,4755,2
5031,4756,3
5034,4757,2
5035,4758,3
5036,4759,2
5037,4760,3
5028,4892,
5182,4899,2
5184,4900,3
5185,4901,2
5186,4902,2
5187,4903,2
5257,5046,
5339,5050,3
5340,5051,4
5341,5052,2
5342,5053,3
5343,5054,3
5344,5055,3
5346,5056,2
5347,5057,3
5496,5198,2
5498,5199,2
5499,5200,2
5500,5201,3
5501,5202,4
5502,5203,5
5503,5204,3
5504,5205,3
5505,5206,2
5506,5207,3
5507,5208,3
5508,5209,3
5653,5342,3
5654,5343,3
5655,5344,3
5656,5345,2
5657,5346,4
5658,5347,2
5659,5348,3
5660,5349,2
5661,5483,
5810,5490,3
5811,5491,4
5812,5492,3
5813,5493,3
5814,5494,3
5815,5495,3
5816,5496,3
5823,5633,
5967,5639,3
5968,5640,3
5969,5641,2
5970,5642,3
5971,5643,3
5972,5644,2
5973,5645,2
5988,5782,
6124,5788,3
6125,5789,2
